Features,Kilowatts,Cylinder Layout,Finance Price,Mileage,Gears,Fuel Type,No of Seats,Registration Year,Colour,No of Doors,Spare Key,Fuel Consumption,Dekra,Variant,Drive,Body Type,Vehicle Service History,id,Maintenance plan,Fuel Tank Capacity,Parking bay number,Category,Price,Make,NaTIS Vehicle status,Engine Capacity,Branch,Warranty,Model,Transmission
['Reverse camera'],150 kW,I4,R 6 995  p/m,132 900km,9,Petrol,5,2019,Silver,4,Yes,6.3 l/100km,Dekra Green,C200 Auto,R,Sedan,Complete but Due,6AF012966,,48 l,, A,R 372 900,Mercedes-Benz,,1991 cc,Dome (GP),,C Class,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",130 kW,I4,R 7 031  p/m,79 388km,7,Diesel,5,2018,White,5, No,5 l/100km,Dekra Platinum,220d Auto 4matic,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",EC2701845,,56 l,, A,R 366 900 ,Mercedes-Benz,,2143 cc,Germiston (GP),,GLA,Automatic
"['Reverse camera', 'Auto stop-start']",140 kW,I4,R 6 940  p/m,114 000km,9,Diesel,7,2017,Silver,5,Yes,6.3 l/100km,Dekra Platinum,2.2 SD4 HSE,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",F81F09712,,65 l,PEL A006, A,R 361 900 ,Land Rover,,2179 cc,Gqeberha (EC),,Discovery Sport,Automatic
"['Reverse camera', 'Auto stop-start']",175 kW,I4,R 7 031  p/m,82 900km,6,Petrol,5,2017,Silver,5, No,7.9 l/100km,Dekra Platinum,2.0T Ex/300 EX,FR,Sports Utility Vehicle (SUV),Partial but Up to Date,DE7908689,,60 l,, A,R 366 900 ,Lexus,,1998 cc,Dome (GP),,NX,Automatic
"['CarPlay or Android Auto', 'Auto stop-start']",100 kW,I3,R 6 977  p/m,22 100km,7,Petrol,5,2022,Red,5,Yes,4.8 l/100km,Dekra Platinum,Auto (xu72),F,Hatchback,"Complete, Up To Date",8D8509833,2027/01/25,40 l,DOM B180, A,R 363 900 ,Mini,,1499 cc,Dome (GP),2027/01/25,Hatch,Automatic
[],120 kW,I4,R 6 940  p/m,76 000km,4,Diesel,7,2012,White,5,Yes,9.4 l/100km,Dekra Gold,3.0d-4d R/B Auto,R,Sports Utility Vehicle (SUV),Complete but Due,0FA510983,,80 l,SIL j057, A,R 361 900 ,Toyota,,2982 cc,Silver Lakes (GP),,Fortuner Epic,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",127 kW,I4,R 6 977  p/m,130 000km,,Petrol,5,2019,Silver,5,Yes,6.5 l/100km,Dekra Gold,2.0 GX CVT,F,Sports Utility Vehicle (SUV),"Complete, Up To Date",353704744,,55 l,, A,R 363 900 ,Toyota,,1987 cc,Midstream (GP),,RAV 4,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",135 kW,I4,R 7 031  p/m,61 000km,6,Diesel,4,2019,Blue,2,Yes,4.2 l/100km,Dekra Platinum,420d Coupe M Sport (F32),R,Coupe,"Complete, Up To Date",0D2F11324,,60 l,Near: RIC F012, A,R 366 900 ,BMW,,1995 cc,Richmond (WC),2024/01/26,4 Series,Manual
[],115 kW,I4,R 6 940  p/m,85 000km,7,Petrol,5,2018,Silver,5,Yes,5.2 l/100km,Dekra Platinum,A 200 Style Auto,F,Hatchback,"Complete, Up To Date",CAEF02330,,50 l,, A,R 361 900 ,Mercedes-Benz,,1595 cc,Silver Lakes (GP),,A Class,Automatic
['Reverse camera'],157 kW,I4,R 6 977  p/m,152 000km,10,Diesel,7,2019,White,5,Yes,7.6 l/100km,Dekra Gold,2.0d Bi-Turbo LTD 4x4 Auto,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",54CC10134,,80 l,, A,R 363 900 ,Ford,,1996 cc,Germiston (GP),,Everest,Automatic
[],221 kW,V6,R 7 031  p/m,119 000km,8,Diesel,5,2016,Red,5,Yes,6 l/100km,Dekra Platinum,3.0d AWD R-Sport,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",C6BF08523,,66 l,, A,R 366 900 ,Jaguar,,2999 cc,Midstream (GP),,F-Pace,Automatic
[],180 kW,V6,R 6 940  p/m,88 000km,8,Diesel,5,2013,Black,5, No,8.25 l/100km,Dekra Green,Diesel TIP,R,Sports Utility Vehicle (SUV),"Complete, Up To Date",6A0500519,,100 l,GER H002, A,R 361 900 ,Porsche,,2967 cc,Germiston (GP),,Cayenne,Automatic
"['Reverse camera', 'Auto stop-start']",190 kW,I6,R 7 031  p/m,134 000km,8,Diesel,5,2015,White,5,Yes,6.2 l/100km,Dekra Gold,xDrive30d Auto (F15),FR,Sports Utility Vehicle (SUV),Partial but Up to Date,9EB603680,,85 l,, A,R 366 900 ,BMW,,2993 cc,Richmond (WC),,X5,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",130 kW,I4,R 6 977  p/m,150 000km,6,Diesel,7,2017,White,5,Yes,8 l/100km,Dekra Gold,2.8gd-6 R/B Auto,R,Sports Utility Vehicle (SUV),"Complete, Up To Date",A29C00051,,80 l,, A,R 363 900 ,Toyota,,2755 cc,Midstream (GP),,Fortuner,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",143 kW,I4,R 6 940  p/m,94 000km,9,Diesel,5,2016,Blue,4,Yes,4.3 l/100km,Dekra Platinum,E 220d,R,Sedan,"Complete, Up To Date",AF3E13650,,50 l,DOM A123, A,R 361 900 ,Mercedes-Benz,,1950 cc,Dome (GP),,E Class,Automatic
[],110 kW,I4,R 6 940  p/m,95 440km,6,Diesel,7,2016,Bronze,5,Yes,7 l/100km,Dekra Platinum,2.4gd-6 R/B,R,Sports Utility Vehicle (SUV),"Complete, Up To Date",4AFF05426,,80 l,Near: MID k037, A,R 361 900 ,Toyota,,2393 cc,Midstream (GP),,Fortuner,Manual
['Reverse camera'],140 kW,I4,R 6 922  p/m,88 000km,9,Diesel,7,2016,White,5, No,6.3 l/100km,Dekra Platinum,2.2 SD4 HSE,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",C92004512,,65 l,, A,R 360 900 ,Land Rover,,2179 cc,Dome (GP),,Discovery Sport,Automatic
[],126 kW,I4,R 6 940  p/m,98 000km,,Petrol,5,2020,Silver,5, No,6.2 l/100km,Dekra Platinum,200 EX,F,Sports Utility Vehicle (SUV),"Complete, Up To Date",564C01843,,47 l,SIL C025, A,R 361 900 ,Lexus,,1987 cc,Silver Lakes (GP),,UX,Automatic
[],183 kW,V6,R 6 922  p/m,172 857km,8,Diesel,5,2015,Grey,5, No,5.7 l/100km,Dekra Gold,3.0 TDI V6 quattro tiptronic (45 Tdi),F/R,Sports Utility Vehicle (SUV),Partial but Up to Date,93DF11321,,75 l,, A,R 360 900 ,Audi,,2967 cc,Mbombela (MP),,Q7,Automatic
"['CarPlay or Android Auto', 'Auto stop-start']",115 kW,I4,R 6 940  p/m,92 563km,7,Petrol,5,2018,Blue,5, No,5.6 l/100km,Dekra Platinum,200 Auto,F,Sports Utility Vehicle (SUV),"Complete, Up To Date",C25C13264,,50 l,CPT D140, A,R 361 900 ,Mercedes-Benz,,1595 cc,Brackenfell (WC),,GLA,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",74 kW,I4,R 6 940  p/m,111 121km,6,Diesel,8,2019,Silver,5,Yes,6.5 l/100km,Dekra Green,Custom 2.2tdci Ambiente LWB,F,Bus,Complete but Due,568010045,,80 l,, A,R 361 900 ,Ford,,2198 cc,Germiston (GP),,Tourneo Custom,Manual
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",140 kW,I4,R 6 922  p/m,82 000km,6,Diesel,5,2018,Silver,4,Yes,4 l/100km,Dekra Green,320d Edition M Sport Shadow,R,Sedan,Partial but Up to Date,085607717,,57 l,, A,R 360 900 ,BMW,,1995 cc,Pietermaritzburg (KZN),,3 Series,Manual
[],177 kW,I4,R 6 868  p/m,73 000km,9,Petrol,5,2016,Silver,5,Yes,7.63 l/100km,Dekra Platinum,2.0 SI4 SE,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",7AE402739,,68 l,, A,R 397 900,Land Rover,,1999 cc,Germiston (GP),,Range Rover Evoque,Automatic
['Reverse camera'],130 kW,I4,R 6 940  p/m,105 000km,6,Diesel,7,2016,Grey,5,Yes,7.5 l/100km,Dekra Platinum,2.8gd-6 R/B,R,Sports Utility Vehicle (SUV),"Complete, Up To Date",80F810921,,80 l,, A,R 361 900 ,Toyota,,2755 cc,Germiston (GP),,Fortuner,Manual
"['CarPlay or Android Auto', 'Auto stop-start']",120 kW,I4,R 6 904  p/m,94 000km,7,Petrol,5,2018,Silver,5,Yes,5.6 l/100km,Dekra Green,A 200 Auto,F,Hatchback,"Complete, Up To Date",D60812881,,48 l,Near: BRA D079, A,R 359 900 ,Mercedes-Benz,,1332 cc,Brackenfell (WC),,A Class,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",103 kW,I3,R 6 924  p/m,91 588km,7,Petrol,5,2019,White,5, No,5.9 l/100km,Dekra Platinum,118i M Sport Auto (F40),F,Hatchback,"Complete, Up To Date",5E0A05666,2024/10/30,50 l,, A,R 369 900,BMW,,1499 cc,Polokwane (L),2024/10/30,1 Series (f40),Automatic
[],245 kW,V6,R 6 904  p/m,110 000km,7,Petrol,5,2014,Silver,2,Yes,7.6 l/100km,Dekra Green,E 400 Cabriolet,R,Cabriolet,Complete but Due,A0B206235,,66 l,GER C091, A,R 359 900 ,Mercedes-Benz,,2996 cc,Germiston (GP),,E Class Cabriolet,Automatic
['Auto stop-start'],150 kW,I4,R 6 868  p/m,122 417km,9,Petrol,5,2019,White,4,Yes,6.3 l/100km,Dekra Gold,C200 Auto,R,Sedan,Partial but Up to Date,F36106252,,48 l,Near: NEL E006, A,R 357 900 ,Mercedes-Benz,,1991 cc,Mbombela (MP),,C Class,Automatic
[],209 kW,V6,R 6 868  p/m,139 000km,5,Petrol,5,2016,White,4, No,11.7 l/100km,Dekra Green,Unltd Sahara 3.6l V6 Auto,FR,Sports Utility Vehicle (SUV),Partial but Up to Date,05C501116,,70 l,, A,R 357 900 ,Jeep,,3604 cc,Midstream (GP),,Wrangler,Automatic
[],177 kW,I4,R 6 904  p/m,115 000km,9,Diesel,7,2018,Grey,5, No,7.2 l/100km,Dekra Platinum,2.0d HSE (177 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",AD0F10102,,54 l,, A,R 359 900 ,Land Rover,,1998 cc,Germiston (GP),,Discovery Sport,Automatic
[],75 kW,I4,R 6 904  p/m,22 000km,4,Petrol,5,2022,Cream,3,Yes,6.8 l/100km,Dekra Green,1.5 GLX Auto,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",87B711419,,40 l,MID K023, A,R 359 900 ,Suzuki,,1462 cc,Midstream (GP),2027/04/01,Jimny,Automatic
"['Reverse camera', 'Auto stop-start']",140 kW,I4,R 6 868  p/m,135 477km,8,Diesel,5,2017,White,4,Yes,4.7 l/100km,Dekra Green,520d Sport Line Auto (G30),R,Sedan,"Complete, Up To Date",8BFD01908,,66 l,, A,R 357 900 ,BMW,,1995 cc,Midstream (GP),,5 Series,Automatic
[],100 kW,I4,R 6 904  p/m,84 000km,7,Diesel,5,2018,White,5,Yes,4.4 l/100km,Dekra Platinum,200d Auto,F,Sports Utility Vehicle (SUV),"Complete, Up To Date",6F8703867,,56 l,, A,R 391 900,Mercedes-Benz,,2143 cc,JHB South (GP),,GLA,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",110 kW,I4,R 6 868  p/m,174 000km,6,Diesel,7,2019,White,5,Yes,7.9 l/100km,Dekra Green,2.4gd-6 R/B Auto,R,Sports Utility Vehicle (SUV),Partial,BA6710284,,80 l,, A,R 357 900 ,Toyota,,2393 cc,Gqeberha (EC),,Fortuner,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",96 kW,I3,R 6 795  p/m,31 363km,6,Petrol,5,2022,White,5,Yes,6.5 l/100km,Dekra Platinum,GT 1.2T Auto,F,Hatchback,"Complete, Up To Date",88A009128,,44 l,Near: GER H059, A,R 353 900 ,Peugeot,,1199 cc,Germiston (GP),2027/01/31,2008,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",103 kW,I4,,41 000km,,Petrol,5,2022,Red,5,Yes,6.8 l/100km,Dekra Platinum,1.8 XR,F,Sports Utility Vehicle (SUV),"Complete, Up To Date",B11C08243,,47 l,, A,R 357 000 ,Toyota,,1798 cc,Richmond (WC),2025/01/31,Corolla Cross,Automatic
"['CarPlay or Android Auto', 'Auto stop-start']",100 kW,I3,R 6 904  p/m,82 993km,6,Petrol,5,2020,Silver,5, No,5.75 l/100km,Dekra Platinum,Cooper Clubman Auto,F,Hatchback,"Complete, Up To Date",9A6C12421,,48 l,JBS g078, A,R 359 900 ,Mini,,1499 cc,JHB South (GP),,Clubman,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",72 kW,I4,R 6 795  p/m,23 000km,,Hybrid,5,2022,Grey,4,Yes,3.5 l/100km,Dekra Gold,1.8 XS Hybrid CVT,F,Sedan,Complete but Due,037104515,,43 l,, A,R 353 900 ,Toyota,,1798 cc,Midstream (GP),2028/02/17,Corolla,Automatic
"['CarPlay or Android Auto', 'Auto stop-start']",140 kW,I4,R 6 795  p/m,109 000km,7,Diesel,5,2018,Silver,5,Yes,4.9 l/100km,Dekra Green,2.0 TDI quattro S tronic (40 Tdi),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",CC3314342,,65 l,PEL D022, A,R 353 900 ,Audi,,1968 cc,Gqeberha (EC),,Q5,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",177 kW,I4,,98 000km,9,Petrol,7,2015,White,5, No,8.15 l/100km,Dekra Platinum,2.0 SI4 HSE,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",053407601,,70 l,, A,R 357 000 ,Land Rover,,1999 cc,Gqeberha (EC),,Discovery Sport,Automatic
"['Reverse camera', 'Auto stop-start']",115 kW,I4,R 6 904  p/m,77 000km,6,Petrol,5,2018,Charcoal,4, No,5.25 l/100km,Dekra Green,C180 AMG Line,R,Sedan,Complete but Due,30F108561,,66 l,, A,R 359 900 ,Mercedes-Benz,,1595 cc,JHB South (GP),,C Class,Manual
[],132 kW,I4,R 6 904  p/m,205 000km,7,Diesel,5,2016,Silver,5,Yes,8.8 l/100km,Dekra Gold,C/bus 2.0 Bitdi LWB 132 KW 4mot DSG Panel Van,FR,Panel Van,"Complete, Up To Date",627311543,,80 l,, B,R 359 900 ,Volkswagen,,1968 cc,Silver Lakes (GP),,T6,Automatic
"['Reverse camera', 'Auto stop-start']",180 kW,I4,R 6 795  p/m,36 049km,8,Petrol,5,2018,Silver,4,Yes,7.5 l/100km,Dekra Platinum,200t Ex/300 EX,R,Sedan,"Complete, Up To Date",3BFD12269,,66 l,Near: RIC F030, A,R 377 900,Lexus,,1998 cc,Richmond (WC),,IS,Automatic
['Reverse camera'],209 kW,V6,,104 628km,8,Petrol,5,2016,Undefined,5,Yes,10.4 l/100km,Dekra Platinum,3.6 Limited,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",252708530,,91 l,, A,R 357 000 ,Jeep,,3604 cc,Epping (WC),,Grand Cherokee,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",110 kW,I4,,92 000km,6,Petrol,7,2020,Grey,5,Yes,7.1 l/100km,Dekra Platinum,Allspace 1.4 TSI C/line DSG (110 KW),F,Sports Utility Vehicle (SUV),"Complete, Up To Date",A6BA08686,,58 l,, A,R 357 000 ,Volkswagen,,1395 cc,Gqeberha (EC),,Tiguan Allspace,Automatic
"['Reverse camera', 'Auto stop-start']",180 kW,V6,R 6 904  p/m,190 000km,8,Diesel,5,2017,White,5,Yes,7.2 l/100km,Dekra Green,GP 3.0 V6 TDI Luxury TIP,FR,Sports Utility Vehicle (SUV),Partial,A14502417,,100 l,Near: POL B014, B,R 359 900 ,Volkswagen,,2967 cc,Polokwane (L),,Touareg,Automatic
['Reverse camera'],115 kW,I4,R 6 795  p/m,52 000km,7,Petrol,5,2018,Silver,4,Yes,5.6 l/100km,Dekra Platinum,C180 Auto,R,Sedan,"Complete, Up To Date",881401461,,66 l,SIL G001, A,R 353 900 ,Mercedes-Benz,,1595 cc,Silver Lakes (GP),,C Class,Automatic
['Reverse camera'],140 kW,I4,,125 000km,9,Diesel,7,2017,White,5, No,6.3 l/100km,Dekra Gold,2.2 SD4 HSE LUX,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",1B7510134,,65 l,, A,R 359 000 ,Land Rover,,2179 cc,Midstream (GP),,Discovery Sport,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",72 kW,I4,R 6 795  p/m,76 000km,,Hybrid,5,2022,White,5,Yes,3.7 l/100km,Dekra Platinum,1.8 5-Door,F,Hatchback,"Complete, Up To Date",82C402148,,43 l,, A,R 353 900 ,Toyota,,1798 cc,Germiston (GP),,Prius,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",150 kW,I4,R 6 850  p/m,60 000km,7,Petrol,5,2021,White,5,Yes,,Dekra Platinum,2.0T Premium DCT,F,Sports Utility Vehicle (SUV),"Complete, Up To Date",51D409469,,60 l,, A,R 356 900 ,Haval,,1967 cc,JHB South (GP),2026/08/25,H6,Automatic
[],175 kW,I4,R 6 795  p/m,99 000km,6,Petrol,5,2018,Silver,5,Yes,7.9 l/100km,Dekra Platinum,2.0T Ex/300 EX,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",DB9109044,,60 l,, A,R 353 900 ,Lexus,,1998 cc,Silver Lakes (GP),,NX,Automatic
[],120 kW,I4,R 6 795  p/m,76 500km,4,Diesel,7,2015,White,5,Yes,9.4 l/100km,Dekra Platinum,3.0d-4d R/B Auto,R,Sports Utility Vehicle (SUV),Partial but Up to Date,326F13844,,80 l,, A,R 353 900 ,Toyota,,2982 cc,Midstream (GP),,Fortuner Epic,Automatic
[],103 kW,I4,,110 000km,7,Diesel,8,2019,White,4,Yes,8 l/100km,Dekra Green,Kombi 2.0 TDI DSG (103 KW) (trendline),R,Bus,Complete but Due,F6CF08341,,80 l,, A,R 359 000 ,Volkswagen,,1968 cc,Dome (GP),,T6,Automatic
['Reverse camera'],122 kW,I4,R 6 850  p/m,60 000km,6,Petrol,7,2016,White,5,Yes,10.5 l/100km,Dekra Platinum,2.7vvti R/B Auto,R,Sports Utility Vehicle (SUV),Partial but Up to Date,765202822,,80 l,JBS E028, A,R 356 900 ,Toyota,,2694 cc,JHB South (GP),,Fortuner,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",,,R 6 850  p/m,119 000km,,Diesel,,2016,White,, No,,Dekra Platinum,250d 4 Matic,,,"Complete, Up To Date",B9EB02756,,,, A,R 391 900,Mercedes-Benz,,,Mbombela (MP),,GLC,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",132 kW,I4,R 6 795  p/m,94 000km,7,Petrol,7,2018,White,5,Yes,7.7 l/100km,Dekra Platinum,Allspace 2.0 TSI C/line 4mot Dsg(132 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",53D402805,2025/05/30,60 l,, A,R 353 900 ,Volkswagen,,1984 cc,JHB South (GP),,Tiguan Allspace,Automatic
[],140 kW,I4,R 6 886  p/m,131 000km,7,Diesel,5,2017,White,5, No,4.9 l/100km,Dekra Gold,2.0 TDI quattro S tronic (40 Tdi),FR,Sports Utility Vehicle (SUV),Partial but Up to Date,7D2509531,,65 l,, A,R 358 900 ,Audi,,1968 cc,Midstream (GP),2025/11/13,Q5,Automatic
"['Reverse camera', 'Auto stop-start']",125 kW,I4,R 6 850  p/m,171 644km,9,Diesel,5,2018,White,5,Yes,5 l/100km,Dekra Gold,220d,FR,Sports Utility Vehicle (SUV),Partial but Up to Date,B51709650,,,, A,R 356 900 ,Mercedes-Benz,,2143 cc,Midstream (GP),,GLC,Automatic
['CarPlay or Android Auto'],177 kW,I4,R 6 886  p/m,130 000km,9,Petrol,7,2017,Grey,5,Yes,8.15 l/100km,Dekra Green,2.0 SI4 HSE,FR,Sports Utility Vehicle (SUV),Partial but Up to Date,6D6806637,,70 l,, A,R 358 900 ,Land Rover,,1999 cc,Dome (GP),,Discovery Sport,Automatic
[],,,R 6 777  p/m,89 000km,,,,2021,Blue,,Yes,,Dekra Green,2.0 TD Double Cab LT 4x2,,,"Complete, Up To Date",FAC103385,,,, A,R 352 900 ,GWM,,,Dome (GP),2026/01/01,P-Series,
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",140 kW,I4,R 6 886  p/m,141 000km,7,Diesel,5,2017,White,5,Yes,5 l/100km,Dekra Green,2.0 TDI quattro S tronic Sport (40 Tdi),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",F8F011230,,65 l,, A,R 358 900 ,Audi,,1968 cc,Riverhorse (KZN),,Q5,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",120 kW,I4,R 6 831  p/m,89 000km,7,Petrol,5,2018,White,5,Yes,5.6 l/100km,Dekra Platinum,A 200 Auto,F,Hatchback,Partial but Up to Date,EEF213481,,48 l,, A,R 355 900 ,Mercedes-Benz,,1332 cc,Dome (GP),,A Class,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",185 kW,I4,R 6 777  p/m,110 000km,8,Petrol,5,2017,Black,4, No,6.2 l/100km,Dekra Green,530i Auto (G30),R,Sedan,"Complete, Up To Date",196108171,,68 l,MID P007, A,R 352 900 ,BMW,,1998 cc,Midstream (GP),,5 Series,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",140 kW,I4,R 6 777  p/m,146 041km,7,Diesel,5,2018,Grey,2,Yes,4.1 l/100km,Dekra Gold,2.0 TDI Stronic (40 Tdi),F,Coupe,"Complete, Up To Date",BDED09872,,54 l,Near: MID F023, A,R 352 900 ,Audi,,1968 cc,Midstream (GP),,A5,Automatic
"['CarPlay or Android Auto', 'Auto stop-start']",70 kW,I3,R 6 886  p/m,15 000km,5,Petrol,5,2023,Silver,5, No,5.4 l/100km,Dekra Platinum,1.0 TSI Life,F,Hatchback,"Complete, Up To Date",5F0204336,,40 l,, A,R 358 900 ,Volkswagen,,999 cc,Dome (GP),2026/05/12,Polo,Manual
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",150 kW,I4,R 6 777  p/m,38 000km,6,Petrol,5,2021,White,5,Yes,6.6 l/100km,Dekra Platinum,2.0 Active Auto,F,Sports Utility Vehicle (SUV),"Complete, Up To Date",BC3105217,,51 l,, A,R 352 900 ,Mazda,,1998 cc,Germiston (GP),2026/06/30,CX-30,Automatic
[],115 kW,I4,R 6 868  p/m,4 425km,6,Petrol,4,2011,White,2, No,6.8 l/100km,Dekra Gold,120i Convert Exclusive,R,Cabriolet,"Complete, Up To Date",73FF07787,,53 l,JBS JHB a027, A,R 357 900 ,BMW,,1995 cc,JHB South (GP),,1 Series,Manual
[],81 kW,I4,R 6 831  p/m,54 000km,6,Petrol,5,2022,White,5, No,7.75 l/100km,Dekra Platinum,1.6i,F,Multi Purpose Vehicle,"Complete, Up To Date",73D401576,,60 l,PE H010, A,R 355 900 ,Volkswagen,,1598 cc,Gqeberha (EC),2024/05/30,Caddy,Manual
['Reverse camera'],127 kW,I4,R 6 777  p/m,40 119km,6,Petrol,5,2019,Grey,5,Yes,6.8 l/100km,Dekra Platinum,2.0 GX,F,Sports Utility Vehicle (SUV),"Complete, Up To Date",C31C04649,,55 l,, A,R 352 900 ,Toyota,,1987 cc,Brackenfell (WC),,RAV 4,Manual
[],160 kW,I4,R 6 868  p/m,4 200km,6,Petrol,4,2011,Black,2,Yes,8.1 l/100km,Dekra Gold,125i Coupe Sport Auto,R,Coupe,"Complete, Up To Date",83B711885,,53 l,DOM A155, A,R 447 900,BMW,,2996 cc,Dome (GP),,1 Series,Automatic
"['Reverse camera', 'Auto stop-start']",135 kW,I4,R 6 831  p/m,74 000km,8,Petrol,4,2018,White,2, No,5.7 l/100km,Dekra Green,220i M Sport Auto (F22),R,Coupe,Partial,950600652,,52 l,DOM A118, A,R 355 900 ,BMW,,1997 cc,Dome (GP),,2 Series,Automatic
[],110 kW,I4,R 6 831  p/m,134 280km,6,Diesel,7,2018,White,5,Yes,7.9 l/100km,Dekra Green,2.4gd-6 R/B Auto,R,Sports Utility Vehicle (SUV),"Complete, Up To Date",020A02155,,80 l,Near: DOM B001 Upstairs, A,R 355 900 ,Toyota,,2393 cc,Dome (GP),,Fortuner,Automatic
[],130 kW,I4,R 6 777  p/m,161 000km,6,Diesel,7,2016,Silver,5,Yes,8 l/100km,Dekra Green,2.8gd-6 R/B Auto,R,Sports Utility Vehicle (SUV),Complete but Due,A6E007579,,80 l,, A,R 352 900 ,Toyota,,2755 cc,Mbombela (MP),,Fortuner,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",77 kW,I4,R 6 868  p/m,13 500km,4,Petrol,5,2023,White,5,Yes,6.1 l/100km,Dekra Platinum,1.5 XR Auto,F,Sports Utility Vehicle (SUV),"Complete, Up To Date",2AA804417,,45 l,RIC G043, A,R 357 900 ,Toyota,,1462 cc,Richmond (WC),2026/04/28,Urban Cruiser,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",132 kW,I4,R 6 868  p/m,114 996km,8,Diesel,5,2017,White,5,Yes,5.3 l/100km,Dekra Platinum,2.0 I4D AWD R-Sport,FR,Sports Utility Vehicle (SUV),Partial but Up to Date,736112051,,60 l,, A,R 357 900 ,Jaguar,,1999 cc,Silver Lakes (GP),,F-Pace,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",108 kW,I4,R 6 831  p/m,18 000km,9,Petrol,5,2022,Silver,5,Yes,,Dekra Platinum,PRO 1.5T Distinction CVT,F,Sports Utility Vehicle (SUV),"Complete, Up To Date",C9DD11584,,51 l,PEL F025, A,R 355 900 ,Chery,,1499 cc,Gqeberha (EC),2026/05/31,Tiggo 7,Automatic
[],68 kW,I4,R 6 759  p/m,10 838km,5,Petrol,5,2023,White,5,Yes,4.8 l/100km,Dekra Platinum,Life Enjoy 1.6td,F,Multi Purpose Vehicle,"Complete, Up To Date",026106113,,52 l,, A,R 351 900 ,Opel,,1560 cc,Midstream (GP),2026/10/24,Combo,Manual
['Reverse camera'],177 kW,I4,R 6 831  p/m,117 795km,9,Diesel,7,2018,Red,5,Yes,7.2 l/100km,Dekra Platinum,2.0d HSE (177 KW),FR,Sports Utility Vehicle (SUV),Partial but Up to Date,428E12929,,54 l,, A,R 371 900,Land Rover,,1998 cc,JHB South (GP),,Discovery Sport,Automatic
['Reverse camera'],103 kW,I4,R 6 868  p/m,37 000km,6,Diesel,7,2021,White,5,Yes,7.7 l/100km,Dekra Platinum,2.2td 4x4 Adventure (103 KW) (S11),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",C17E01932,,60 l,, A,R 357 900 ,Mahindra,,2179 cc,Midstream (GP),2025/03/07,Scorpio,Manual
[],209 kW,V6,R 6 813  p/m,95 000km,5,Petrol,5,2015,Silver,4, No,11.9 l/100km,Dekra Green,Unltd Rubicon 3.6l V6 Auto,FR,Sports Utility Vehicle (SUV),Complete but Due,B49406151,,70 l,, A,R 354 900 ,Jeep,,3604 cc,JHB South (GP),,Wrangler,Automatic
[],118 kW,I4,R 6 759  p/m,66 480km,6,Diesel,7,2018,White,5,Yes,6.9 l/100km,Dekra Platinum,2.2 TDCi XLS,R,Sports Utility Vehicle (SUV),"Complete, Up To Date",3A9301146,,80 l,RIC C036, A,R 351 900 ,Ford,,2198 cc,Richmond (WC),,Everest,Manual
